Date,Open,High,Low,Close,Adj Close,Volume
2006-11-24,66.500000,66.550003,65.849998,65.849998,41.338249,2874100
2006-11-27,65.500000,65.830002,65.220001,65.650002,41.212704,9429200
2006-11-28,65.550003,66.080002,65.519997,65.970001,41.413593,8083100
2006-11-29,65.900002,66.320000,65.730003,66.199997,41.557968,6778700
2006-11-30,66.199997,66.430000,65.680000,65.910004,41.375923,7799300
2006-12-01,65.910004,66.059998,65.330002,65.970001,41.413593,8947400
2006-12-04,66.389999,66.720001,65.809998,66.279999,41.608177,7785800
2006-12-05,66.349998,66.370003,65.940002,66.169998,41.539143,6564300
2006-12-06,66.250000,66.250000,65.800003,66.029999,41.451256,7099900
2006-12-07,66.250000,66.639999,65.949997,66.059998,41.470058,10418400
2006-12-08,65.900002,66.250000,65.680000,65.949997,41.401031,6126200
2006-12-11,65.959999,66.000000,65.459999,65.699997,41.244080,7725100
2006-12-12,65.779999,65.900002,65.290001,65.580002,41.168747,8935000
2006-12-13,65.800003,66.000000,65.419998,65.470001,41.099693,8856700
2006-12-14,65.779999,66.620003,65.519997,66.250000,41.589355,9256500
2006-12-15,66.400002,66.570000,65.500000,66.290001,41.614456,12798000
2006-12-18,66.220001,66.839996,66.220001,66.599998,41.809071,7896700
2006-12-19,66.650002,67.250000,66.629997,66.879997,41.984840,10245500
2006-12-20,66.650002,66.889999,66.339996,66.430000,41.702339,9780100
2006-12-21,66.230003,66.379997,65.879997,66.000000,41.432419,8729100
2006-12-22,65.779999,65.949997,65.449997,65.650002,41.212704,6067500
2006-12-26,65.599998,65.779999,65.480003,65.639999,41.206421,3804300
2006-12-27,65.940002,66.150002,65.779999,66.010002,41.438679,5168900
2006-12-28,65.860001,66.599998,65.860001,66.419998,41.696068,5450100
2006-12-29,66.169998,66.570000,65.860001,66.019997,41.444958,5877100
2007-01-03,66.129997,67.099998,66.110001,66.400002,41.683517,12845300
2007-01-04,65.900002,67.620003,65.900002,67.230003,42.204575,11262000
2007-01-05,66.800003,67.250000,66.500000,66.620003,41.821632,8141100
2007-01-08,66.510002,66.750000,66.050003,66.510002,41.752586,6180400
2007-01-09,66.599998,66.849998,66.129997,66.260002,41.595627,7147100
